노선번호,도로명,이정,X좌표값,Y좌표값,GRS80X좌표값,GRS80Y좌표값
0010,경부선,0.0000,35.246578310,129.093206770,390524.290167,296459.942628
0010,경부선,0.1000,35.247248716,129.093941182,390589.576843,296535.747989
0010,경부선,0.2000,35.247919117,129.094675607,390654.863558,296611.553434
0010,경부선,0.3000,35.248589513,129.095410044,390720.150315,296687.358814
0010,경부선,0.4000,35.249259903,129.096144494,390785.437116,296763.164130
0010,경부선,0.5000,35.249932133,129.096876420,390850.488694,296839.169313
0010,경부선,0.6000,35.250633705,129.097565924,390911.608708,296918.349408
0010,경부선,0.7000,35.251365067,129.098208070,390968.346792,297000.744685
0010,경부선,0.8000,35.252099139,129.098845669,391024.663492,297083.432280
0010,경부선,0.9000,35.252849480,129.099454161,391078.291398,297167.869656
0010,경부선,1.0000,35.253629354,129.100004711,391126.574702,297255.473039
0010,경부선,1.1000,35.254435753,129.100495197,391169.327269,297345.904469
0010,경부선,1.2000,35.255265570,129.100923722,391206.384035,297438.815365
0010,경부선,1.3000,35.256115602,129.101288634,391237.602087,297533.847144
0010,경부선,1.4000,35.256976592,129.101613720,391265.168637,297630.018235
0010,경부선,1.5000,35.257837701,129.101938339,391292.691718,297726.201841
0010,경부선,1.6000,35.258698810,129.102262963,391320.214580,297822.385556
0010,경부선,1.7000,35.259559264,129.102590104,391347.967479,297918.501595
0010,경부선,1.8000,35.260397589,129.102992397,391382.611865,298012.306994
0010,경부선,1.9000,35.261196716,129.103499618,391426.898104,298101.965359
0010,경부선,2.0000,35.261976637,129.104050468,391475.199578,298189.576852
0010,경부선,2.1000,35.262756556,129.104601332,391523.501264,298277.188393
0010,경부선,2.2000,35.263549447,129.105123535,391569.162900,298366.184553
0010,경부선,2.3000,35.264368593,129.105581559,391608.920502,298457.970350
0010,경부선,2.4000,35.265210521,129.105973384,391642.598589,298552.156704
0010,경부선,2.5000,35.266070396,129.106302530,391670.529024,298648.213642
0010,경부선,2.6000,35.266933581,129.106618877,391697.286106,298744.613310
0010,경부선,2.7000,35.267796763,129.106935232,391724.043240,298841.012784
0010,경부선,2.8000,35.268659945,129.107251591,391750.800172,298937.412307
0010,경부선,2.9000,35.269523126,129.107567960,391777.557299,299033.811889
0010,경부선,3.0000,35.270386305,129.107884336,391804.314426,299130.211426
0010,경부선,3.1000,35.271249483,129.108200717,391831.071351,299226.610913
0010,경부선,3.2000,35.272115342,129.108505751,391856.788671,299323.286183
0010,경부선,3.3000,35.272999704,129.108713555,391873.613256,299421.826590
0010,경부선,3.4000,35.273899253,129.108765320,391876.201483,299521.750427
0010,경부선,3.5000,35.274795502,129.108658123,391864.331445,299621.000524
0010,경부선,3.6000,35.275669659,129.108394211,391838.252282,299717.495845
0010,경부선,3.7000,35.276507740,129.107991115,391799.592955,299809.718603
0010,경부선,3.8000,35.277326727,129.107532160,391755.896175,299899.714486
0010,경부선,3.9000,35.278144861,129.107070926,391711.994803,299989.611600
0010,경부선,4.0000,35.278962993,129.106609683,391668.093399,300079.508662
0010,경부선,4.1000,35.279781123,129.106148430,391624.191963,300169.405623
0010,경부선,4.2000,35.280599252,129.105687169,391580.290592,300259.302634
0010,경부선,4.3000,35.281417379,129.105225898,391536.389139,300349.199592
0010,경부선,4.4000,35.282235506,129.104764618,391492.487748,300439.096749
0010,경부선,4.5000,35.283053629,129.104303330,391448.586328,300528.993655
0010,경부선,4.6000,35.283871055,129.103840205,391404.520280,300618.809800
0010,경부선,4.7000,35.284671005,129.103334398,391356.612438,300706.604490
0010,경부선,4.8000,35.285415695,129.102716849,391298.668145,300788.051416
0010,경부선,4.9000,35.286077697,129.101972317,391229.365154,300860.077816
0010,경부선,5.0000,35.286646848,129.101120830,391150.549977,300921.594701
0010,경부선,5.1000,35.287170823,129.100226401,391067.934813,300978.016235
0010,경부선,5.2000,35.287693242,129.099330599,390985.199437,301034.263128
0010,경부선,5.3000,35.288215652,129.098434789,390902.464333,301090.509754
0010,경부선,5.4000,35.288738057,129.097538965,390819.729144,301146.756452
0010,경부선,5.5000,35.289259392,129.096642215,390736.913154,301202.883463
0010,경부선,5.6000,35.289754193,129.095723497,390652.161767,301256.024328
0010,경부선,5.7000,35.290210721,129.094775757,390564.860483,301304.863029
0010,경부선,5.8000,35.290631315,129.093803516,390475.415256,301349.667846
