VDS 코드,,
VDS_ID,GRS80X좌표값,GRS80Y좌표값
0010VDE00100,390524.290125,296459.942624
0010VDE00200,390589.576852,296535.747996
0010VDE00300,390654.863578,296611.553368
0010VDE00400,390720.150305,296687.35874
0010VDE00500,390785.437032,296763.164111
0010VDE00600,390850.48874,296839.169217
0010VDE00700,390911.608633,296918.349392
0010VDE00800,390968.346697,297000.744704
0010VDE00900,391024.663453,297083.432272
0010VDE01000,391078.291375,297167.869655
0010VDE01100,391126.574672,297255.473015
0010VDE01200,391169.327152,297345.904486
0010VDE01300,391206.383913,297438.815313
0010VDE01500,391237.602051,297533.847167
0010VDE01600,391265.168631,297630.018242
0010VDE01700,391292.691643,297726.201891
0010VDE01800,391320.214655,297822.38554
0010VDE01900,391347.967487,297918.501657
0010VDE02000,391382.611926,298012.306917
0010VDE02100,391426.898088,298101.965365
0010VDE02200,391475.199629,298189.576847
0010VDE02300,391523.50117,298277.188329
0010VDE02400,391569.162887,298366.18456
0010VDE02500,391608.920436,298457.970267
0010VDE02600,391642.598473,298552.15664
0010VDE02700,391670.528995,298648.213664
0010VDE02800,391697.286064,298744.613196
0010VDE02850,391724.043133,298841.012727
0010VDE02900,391750.800203,298937.412258
0010VDE03000,391777.557272,299033.811789
0010VDE03100,391804.314341,299130.21132
0010VDE03200,391831.07141,299226.610851
0010VDE03300,391856.78858,299323.286088
0010VDE03400,391873.613139,299421.826509
0010VDE03500,391876.201457,299521.75036
0010VDE03600,391864.331521,299621.000449
0010VDE03700,391838.252201,299717.495757
0010VDE03800,391799.592925,299809.718516
0010VDE04000,391755.896225,299899.714505
0010VDE04100,391711.994795,299989.611527
0010VDE04105,391668.093365,300079.508549
0010VDE04110,391624.191935,300169.405571
0010VDE04115,391580.290505,300259.302593
0010VDE04120,391536.389075,300349.199615
0010VDE04125,391492.487645,300439.096636
0010VDE04130,391448.586215,300528.993658
0010VDE04135,391404.520282,300618.809702
0010VDE04140,391356.612364,300706.60443
0010VDE04145,391298.668156,300788.051484
0010VDE04150,391229.365174,300860.077815
0010VDE04155,391150.549929,300921.5946
0010VDE04160,391067.93471,300978.016297
0010VDE04165,390985.19949,301034.26302
0010VDE04170,390902.46427,301090.509742
0010VDE04175,390819.729051,301146.756464
0010VDE04180,390736.913058,301202.883384
0010VDE04185,390652.161728,301256.024307
0010VDE04190,390564.860366,301304.863001
0010VDE04195,390475.415277,301349.66773
0010VDE04200,390386.174318,301394.880575
0010VDE04205,390298.992022,301443.923442
0010VDE04210,390215.157811,301498.485014
0010VDE04215,390135.144569,301558.510183
0010VDE04220,390059.307795,301623.732292
0010VDE04225,389987.862471,301693.742263
0010VDE04230,389919.633976,301766.906081
0010VDE04235,389852.508448,301841.088064
0010VDE04240,389785.412233,301915.296606
0010VDE04245,389718.316018,301989.505149
0010VDE04250,389651.219803,302063.713691
0010VDE04255,389584.123587,302137.922233
0010VDE04260,389517.027372,302212.130775
0010VDE04265,389449.931157,302286.339316
0010VDE04270,389382.834942,302360.547858
0010VDE04275,389315.738728,302434.7564
0010VDE04280,389248.642513,302508.964942
0010VDE04285,389181.546298,302583.173483
0010VDE04290,389114.450084,302657.382025
0010VDE04295,389047.353869,302731.590566
0010VDE04300,388980.257774,302805.799216
0010VDE04305,388913.16176,302880.007937
0010VDE04310,388846.065745,302954.216659
0010VDE04315,388778.96973,303028.42538
0010VDE04320,388711.873715,303102.634102
0010VDE04325,388644.777701,303176.842823
0010VDE04330,388577.681686,303251.051545
0010VDE04335,388510.585672,303325.260266
0010VDE04340,388443.489585,303399.468922
0010VDE04345,388376.39346,303473.677542
0010VDE04350,388309.297306,303547.886136
0010VDE04355,388242.201122,303622.094704
0010VDE04400,388175.104925,303696.30326
0010VDE04500,388107.552387,303770.092976
0010VDE04600,388037.322434,303841.333165
0010VDE04700,387964.271122,303909.678967
0010VDE04800,387890.300223,303977.037081
0010VDE04900,387816.329407,304044.395286
0010VDE05000,387742.35854,304111.753435
0010VDE05100,387668.387649,304179.111556
0010VDE05200,387594.416738,304246.469656
0010VDE05300,387520.445808,304313.827735
0010VDE05400,387446.55169,304381.115823
0010VDE05500,387372.100918,304447.765864
0010VDE05600,387298.336599,304514.840364
0010VDE05700,387223.759607,304581.207848
0010VDE05800,387149.223548,304647.918544
0010VDE05900,387075.479367,304715.358209
0010VDE06000,387002.89885,304784.196053
0010VDE06100,386929.669775,304852.094128
0010VDE06200,386850.883352,304912.454922
0010VDE06300,386765.561894,304963.563665
0010VDE06400,386675.573552,305006.23771
0010VDE06500,386582.151991,305041.10795
0010VDE06600,386488.433072,305075.637251
0010VDE06700,386394.196506,305109.204962
0010VDE06800,386301.01823,305145.665389
0010VDE06900,386210.693201,305188.568175
0010VDE07000,386126.894749,305243.290968
0010VDE07100,386052.111712,305309.527999
