발생년,발생년월일시,주야,요일,사망자수,부상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,가해자법규위반,도로형태_대분류,도로형태,가해자_당사자종별,피해자_당사자종별,발생위치X(UTMK),발생위치Y(UTMK),경도,위도
2021,2021-01-01 03:00,야,금,1,3,0,3,0,경북,군위군,차대차,추돌,추돌,안전운전 의무 불이행,교차로,교차로부근,승용차,승용차,1097010,1793385,128.5781516,36.13265309
2021,2021-01-01 09:00,주,금,1,0,0,0,0,충남,서산시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,902369,1847109,126.4082005,36.61684533
2021,2021-01-01 15:00,주,금,1,0,0,0,0,강원,강릉시,차대차,측면충돌,측면충돌,안전운전 의무 불이행,교차로,교차로내,원동기장치자전거,승용차,1123975,1974509,128.9074835,37.76184189
2021,2021-01-01 19:00,야,금,1,0,0,0,0,전남,진도군,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,886507,1613961,126.2635734,34.51339077
2021,2021-01-01 21:00,야,금,1,0,0,0,0,경기,수원시,차대사람,기타,기타,기타,단일로,기타단일로,승용차,보행자,953522,1915403,126.9760106,37.23632699
2021,2021-01-01 21:00,야,금,1,0,0,0,0,전남,순천시,차대사람,기타,기타,기타,기타,기타,승용차,보행자,1001659,1662375.9,127.5181708,34.95624455
2021,2021-01-01 22:00,야,금,1,0,0,0,0,충남,천안시,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로부근,승용차,보행자,968634,1874802,127.1480726,36.8709737
2021,2021-01-01 22:00,야,금,1,3,1,2,0,광주,광산구,차대차,정면충돌,정면충돌,안전운전 의무 불이행,교차로,교차로내,승용차,승용차,938071.4,1689913.5,126.8196665,35.20265006
2021,2021-01-02 02:00,야,토,1,0,0,0,0,경기,파주시,차량단독,전복,전복,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,933561,1980113,126.7451323,37.81833887
2021,2021-01-02 07:00,주,토,1,0,0,0,0,서울,종로구,차대사람,횡단중,횡단중,신호위반,교차로,교차로횡단보도내,화물차,보행자,953176.5,1956468.8,126.9695109,37.60645223
2021,2021-01-02 09:00,주,토,1,1,1,0,0,경북,영주시,차대차,측면충돌,측면충돌,교차로 통행방법 위반,교차로,교차로내,화물차,승합차,1101453,1869467,128.6375007,36.81796058
2021,2021-01-02 21:00,야,토,1,0,0,0,0,경기,수원시,차대차,측면충돌,측면충돌,신호위반,교차로,교차로내,승용차,이륜차,956518,1919110,127.0095696,37.26988546
2021,2021-01-02 23:00,야,토,1,0,0,0,0,충남,서산시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,911655,1865556,126.5099,36.78402425
2021,2021-01-02 23:00,야,토,1,3,3,0,0,경북,상주시,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,1058220,1838239,128.1504329,36.54011006
