"행정구역별(읍면동)","항목","단위","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년",
"전국","총인구[명]","명","51069375","51269554","51422507","51629512","51779203","51829136",
"전국","남자[명]","명","25608502","25696987","25768055","25877195","25952070","25915207",
"전국","여자[명]","명","25460873","25572567","25654452","25752317","25827133","25913929",
"전국","내국인-계[명]","명","49705663","49855796","49943260","49977951","50000285","50133493",
"전국","내국인-남자[명]","명","24819839","24881520","24922392","24931554","24934662","24972588",
"전국","내국인-여자[명]","명","24885824","24974276","25020868","25046397","25065623","25160905",
"전국","외국인-계[명]","명","1363712","1413758","1479247","1651561","1778918","1695643",
"전국","외국인-남자[명]","명","788663","815467","845663","945641","1017408","942619",
"전국","외국인-여자[명]","명","575049","598291","633584","705920","761510","753024",
"전국","가구-계[가구]","가구","19560603","19837665","20167922","20499543","20891348","21484785",
"전국","일반가구[가구]","가구","19111030","19367696","19673875","19979188","20343188","20926710",
"전국","집단가구[가구]","가구","16464","12968","15949","17209","16729","16388",
"전국","외국인가구[가구]","가구","433109","457001","478098","503146","531431","541687",
"전국","주택-계[호]","호","16367006","16692230","17122573","17633327","18126954","18525844",
"전국","단독주택[호]","호","3973961","3967776","3963072","3948984","3917683","3897729",
"전국","아파트[호]","호","9806062","10029644","10375363","10826044","11287048","11661851",
"전국","연립주택[호]","호","485349","492469","502514","508664","514337","521606",
"전국","다세대주택[호]","호","1898090","2000783","2072905","2139885","2194943","2230787",
"전국","비거주용 건물내 주택[호]","호","203544","201558","208719","209750","212943","213871",
"전국","주택이외의 거처[호]","호","607195","691672","773847","824686","896930","1000903",
"읍부","총인구[명]","명","4616802","4707855","4794377","4984023","5057507","5113052",
"읍부","남자[명]","명","2360708","2410964","2456558","2557807","2599416","2624351",
"읍부","여자[명]","명","2256094","2296891","2337819","2426216","2458091","2488701",
"읍부","내국인-계[명]","명","4467697","4548051","4625994","4787535","4839016","4904647",
"읍부","내국인-남자[명]","명","2262853","2305977","2347613","2431315","2459087","2494271",
"읍부","내국인-여자[명]","명","2204844","2242074","2278381","2356220","2379929","2410376",
"읍부","외국인-계[명]","명","149105","159804","168383","196488","218491","208405",
"읍부","외국인-남자[명]","명","97855","104987","108945","126492","140329","130080",
"읍부","외국인-여자[명]","명","51250","54817","59438","69996","78162","78325",
"읍부","가구-계[가구]","가구","1737415","1792689","1846901","1942637","1993797","2080384",
"읍부","일반가구[가구]","가구","1695508","1746762","1798810","1890366","1937519","2021664",
"읍부","집단가구[가구]","가구","2189","1846","2277","2505","2451","2353",
"읍부","외국인가구[가구]","가구","39718","44081","45814","49766","53827","56367",
"읍부","주택-계[호]","호","1614808","1673803","1749920","1862018","1935259","1992568",
"읍부","단독주택[호]","호","544351","551606","560283","572652","574704","579820",
"읍부","아파트[호]","호","864404","903764","959130","1040205","1098180","1142894",
"읍부","연립주택[호]","호","66387","68597","71398","74587","78176","79981",
"읍부","다세대주택[호]","호","112764","123194","131130","145491","154284","159041",
"읍부","비거주용 건물내 주택[호]","호","26902","26642","27979","29083","29915","30832",
"읍부","주택이외의 거처[호]","호","49554","58323","62526","67246","69227","74804",
"면부","총인구[명]","명","4774878","4793569","4835090","4730290","4698591","4650781",
"면부","남자[명]","명","2455898","2472341","2498157","2453691","2447379","2420392",
"면부","여자[명]","명","2318980","2321228","2336933","2276599","2251212","2230389",
"면부","내국인-계[명]","명","4546520","4556905","4592308","4464067","4415652","4394145",
"면부","내국인-남자[명]","명","2291860","2301931","2324414","2263139","2244382","2237761",
"면부","내국인-여자[명]","명","2254660","2254974","2267894","2200928","2171270","2156384",
"면부","외국인-계[명]","명","228358","236664","242782","266223","282939","256636",
"면부","외국인-남자[명]","명","164038","170410","173743","190552","202997","182631",
"면부","외국인-여자[명]","명","64320","66254","69039","75671","79942","74005",
"면부","가구-계[가구]","가구","1981033","2016031","2052573","2030579","2028614","2068878",
"면부","일반가구[가구]","가구","1927621","1958876","1993849","1971564","1968717","2008345",
"면부","집단가구[가구]","가구","4284","3298","4055","4177","4080","4237",
"면부","외국인가구[가구]","가구","49128","53857","54669","54838","55817","56296",
"면부","주택-계[호]","호","1982064","2012868","2064742","2066655","2085214","2105345",
"면부","단독주택[호]","호","1524970","1525378","1538966","1536624","1536714","1539804",
"면부","아파트[호]","호","334810","359250","389938","396594","412546","427449",
"면부","연립주택[호]","호","31485","32994","34592","34705","35780","36565",
"면부","다세대주택[호]","호","61366","65807","70152","68087","69051","69672",
"면부","비거주용 건물내 주택[호]","호","29433","29439","31094","30645","31123","31855",
"면부","주택이외의 거처[호]","호","78036","91210","96877","99218","100447","103889",
"동부","총인구[명]","명","41677695","41768130","41793040","41915199","42023105","42065303",
"동부","남자[명]","명","20791896","20813682","20813340","20865697","20905275","20870464",
"동부","여자[명]","명","20885799","20954448","20979700","21049502","21117830","21194839",
"동부","내국인-계[명]","명","40691446","40750840","40724958","40726349","40745617","40834701",
"동부","내국인-남자[명]","명","20265126","20273612","20250365","20237100","20231193","20240556",
"동부","내국인-여자[명]","명","20426320","20477228","20474593","20489249","20514424","20594145",
"동부","외국인-계[명]","명","986249","1017290","1068082","1188850","1277488","1230602",
"동부","외국인-남자[명]","명","526770","540070","562975","628597","674082","629908",
"동부","외국인-여자[명]","명","459479","477220","505107","560253","603406","600694",
"동부","가구-계[가구]","가구","15842155","16028945","16268448","16526327","16868937","17335523",
"동부","일반가구[가구]","가구","15487901","15662058","15881216","16117258","16436952","16896701",
"동부","집단가구[가구]","가구","9991","7824","9617","10527","10198","9798",
"동부","외국인가구[가구]","가구","344263","359063","377615","398542","421787","429024",
