"시도별(1)",2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"시도별(1)",허가병상,일반입원실,일반입원실,일반입원실,일반입원실,정신과폐쇄,정신과폐쇄,정신과폐쇄,정신과폐쇄,중환자실,중환자실,중환자실,중환자실,격리실,격리실,격리실,격리실,격리실,격리실,허가병상,일반입원실,일반입원실,일반입원실,일반입원실,정신과폐쇄,정신과폐쇄,정신과폐쇄,정신과폐쇄,중환자실,중환자실,중환자실,중환자실,격리실,격리실,격리실,격리실,격리실,격리실,허가병상,일반입원실,일반입원실,일반입원실,일반입원실,정신과폐쇄,정신과폐쇄,정신과폐쇄,정신과폐쇄,중환자실,중환자실,중환자실,중환자실,격리실,격리실,격리실,격리실,격리실,격리실,허가병상,일반입원실,일반입원실,일반입원실,일반입원실,정신과폐쇄,정신과폐쇄,정신과폐쇄,정신과폐쇄,중환자실,중환자실,중환자실,중환자실,격리실,격리실,격리실,격리실,격리실,격리실,허가병상,일반입원실,일반입원실,일반입원실,일반입원실,정신과폐쇄,정신과폐쇄,정신과폐쇄,정신과폐쇄,중환자실,중환자실,중환자실,중환자실,격리실,격리실,격리실,격리실,격리실,격리실,허가병상,일반입원실,일반입원실,일반입원실,일반입원실,정신과폐쇄,정신과폐쇄,정신과폐쇄,정신과폐쇄,중환자실,중환자실,중환자실,중환자실,격리실,격리실,격리실,격리실,격리실,격리실
"시도별(1)",소계,상급,상급,일반,일반,상급,상급,일반,일반,성인소아,성인소아,신생아,신생아,음압공조,음압공조,음압기계,음압기계,비음압,비음압,소계,상급,상급,일반,일반,상급,상급,일반,일반,성인소아,성인소아,신생아,신생아,음압공조,음압공조,음압기계,음압기계,비음압,비음압,소계,상급,상급,일반,일반,상급,상급,일반,일반,성인소아,성인소아,신생아,신생아,음압공조,음압공조,음압기계,음압기계,비음압,비음압,소계,상급,상급,일반,일반,상급,상급,일반,일반,성인소아,성인소아,신생아,신생아,음압공조,음압공조,음압기계,음압기계,비음압,비음압,소계,상급,상급,일반,일반,상급,상급,일반,일반,성인소아,성인소아,신생아,신생아,음압공조,음압공조,음압기계,음압기계,비음압,비음압,소계,상급,상급,일반,일반,상급,상급,일반,일반,성인소아,성인소아,신생아,신생아,음압공조,음압공조,음압기계,음압기계,비음압,비음압
"시도별(1)",병상 (개),병실 (개),병상 (개),병실 (개),병상 (개),병실 (개),병상 (개),병실 (개),병상 (개),병실 (개),병상 (개),병실 (개),병상 (개),병실 (개),병상 (개),병실 (개),병상 (개),병실 (개),병상 (개),병상 (개),병실 (개),병상 (개),병실 (개),병상 (개),병실 (개),병상 (개),병실 (개),병상 (개),병실 (개),병상 (개),병실 (개),병상 (개),병실 (개),병상 (개),병실 (개),병상 (개),병실 (개),병상 (개),병상 (개),병실 (개),병상 (개),병실 (개),병상 (개),병실 (개),병상 (개),병실 (개),병상 (개),병실 (개),병상 (개),병실 (개),병상 (개),병실 (개),병상 (개),병실 (개),병상 (개),병실 (개),병상 (개),병상 (개),병실 (개),병상 (개),병실 (개),병상 (개),병실 (개),병상 (개),병실 (개),병상 (개),병실 (개),병상 (개),병실 (개),병상 (개),병실 (개),병상 (개),병실 (개),병상 (개),병실 (개),병상 (개),병상 (개),병실 (개),병상 (개),병실 (개),병상 (개),병실 (개),병상 (개),병실 (개),병상 (개),병실 (개),병상 (개),병실 (개),병상 (개),병실 (개),병상 (개),병실 (개),병상 (개),병실 (개),병상 (개),병상 (개),병실 (개),병상 (개),병실 (개),병상 (개),병실 (개),병상 (개),병실 (개),병상 (개),병실 (개),병상 (개),병실 (개),병상 (개),병실 (개),병상 (개),병실 (개),병상 (개),병실 (개),병상 (개)
"전국",62276,3605,5781,8646,47799,98,192,726,5140,150,1708,22,356,203,499,33,58,145,418,63535,3721,5858,8902,48578,110,207,715,5114,161,1777,25,379,224,492,49,82,138,391,63185,3691,5720,8989,47787,111,210,794,5577,183,1837,27,393,295,567,55,81,143,422,62724,2369,2897,10423,50516,47,57,849,5433,185,1905,27,425,336,620,47,66,164,480,61040,2063,2375,10553,49385,42,42,796,4900,191,1866,28,432,345,583,49,67,164,450,63417,2177,2462,10831,51303,45,45,818,4888,181,2014,29,437,464,788,52,70,216,630
"서울",8672,714,1126,1149,5775,12,24,122,637,27,334,3,59,92,296,0,0,50,177,8553,722,1133,1170,5845,20,32,100,527,27,343,3,59,95,253,4,7,43,140,8453,709,1124,1172,5829,24,44,91,458,27,341,3,59,94,227,3,6,40,129,8333,360,403,1523,6480,12,12,94,426,26,331,3,62,95,227,3,6,51,150,8283,314,330,1516,6376,15,15,94,424,26,300,3,62,96,227,3,6,35,106,8617,317,333,1639,6884,25,25,98,434,30,365,3,62,141,294,3,6,32,88
"부산",4078,283,450,483,3034,3,6,59,351,10,164,1,15,16,44,0,0,2,2,4117,273,428,500,3043,5,9,56,339,11,180,1,20,19,47,0,0,2,2,4150,281,435,510,3099,5,9,56,339,11,180,1,20,23,54,0,0,2,2,4009,153,168,608,3219,1,1,60,347,11,174,1,20,23,54,0,0,5,14,3957,150,160,613,3146,1,1,60,347,11,166,1,20,23,54,0,0,5,14,3656,144,154,587,2888,1,1,60,347,11,166,1,20,23,54,0,0,5,14
"대구",3514,199,263,492,2561,8,15,67,511,9,128,2,33,8,10,0,0,3,16,3669,208,275,508,2626,8,15,67,511,10,136,2,33,6,8,2,2,3,16,3653,202,271,502,2608,9,16,76,569,13,145,2,21,8,8,3,3,2,10,3654,145,156,565,2787,3,3,63,462,14,158,2,44,23,38,2,2,1,2,3547,138,147,546,2717,1,1,58,402,12,152,2,44,23,38,2,2,1,2,3800,142,147,576,2822,1,1,56,393,13,151,2,44,23,38,2,2,54,200
"인천",1286,69,135,178,1027,0,0,6,48,3,50,0,0,5,7,6,8,8,11,1196,60,98,178,974,0,0,6,48,3,50,0,0,5,7,6,8,8,11,1233,56,88,190,980,0,0,6,48,7,45,0,0,9,9,6,8,18,55,1380,54,67,236,1133,0,0,6,44,4,52,0,0,9,9,6,6,23,69,1338,41,41,243,1120,0,0,6,44,4,52,0,0,11,11,6,6,21,64,1406,45,45,261,1182,0,0,6,44,4,54,0,0,11,11,6,6,21,64
"광주",2675,219,378,326,1835,4,12,27,249,10,139,1,33,3,5,1,2,1,1,2709,215,372,333,1871,4,12,27,249,10,135,1,33,3,5,1,2,1,1,2724,212,367,338,1885,4,12,27,245,12,156,1,45,9,9,0,0,1,1,2753,97,134,464,2147,0,0,31,257,12,158,1,45,9,9,0,0,3,3,2771,78,90,483,2180,0,0,35,257,12,158,1,45,9,9,0,0,3,3,2797,79,91,495,2238,0,0,35,257,12,154,1,45,9,9,0,0,3,3
"대전",3180,288,490,404,2229,5,10,34,252,3,86,1,34,3,5,1,1,10,41,3179,270,449,418,2283,5,10,34,236,7,85,1,34,4,6,1,1,10,41,3141,265,439,416,2270,5,10,34,236,9,85,1,34,12,15,2,2,5,20,3129,174,254,501,2460,0,0,40,254,9,85,1,34,12,15,2,2,5,20,2958,108,118,542,2409,0,0,41,249,8,80,1,34,12,15,2,2,10,20,3018,111,121,556,2491,0,0,39,221,9,95,1,34,12,15,2,2,10,20
