"시도(1)","시군구(1)",2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"시도(1)","시군구(1)",계,전,답,과수원,목장용지,임야,광천지,염전,대,공장용지
"시도(1)","시군구(1)",면적,면적,면적,면적,면적,면적,면적,면적,면적,면적
"강원","춘천시",1116373900.4,66171409.6,32589464.2,1992757.0,2150059.0,838819646.3,0.0,0.0,21421113.3,2031609.1
"강원","원주시",868240237.8,60304010.4,56450448.7,2679860.2,2815339.7,614733167.1,1412.0,0.0,27666465.0,5569182.9
"강원","홍천군",1820310462.5,105587526.6,56318535.5,564275.0,12485242.6,1523688909.0,0.0,0.0,16143152.3,1527677.7
"강원","횡성군",998066555.9,86703356.0,47076464.6,331414.0,12598730.4,762691445.1,0.0,0.0,11651139.2,2897589.9
"강원","평창군",1463928054.3,122734496.8,15625878.1,55391.0,16494819.2,1219204104.0,0.0,0.0,13296403.4,538468.0
"강원","정선군",1219777975.3,98952533.8,7695749.2,140024.6,1556507.9,1041622161.2,0.0,0.0,7490569.3,656622.3
"강원","철원군",889682310.5,84508467.4,122621700.7,420972.0,2596978.4,597957045.9,0.0,0.0,8542430.1,730052.7
"강원","화천군",908931855.5,42116336.1,16668680.3,413665.6,942207.8,766962325.4,0.0,0.0,5050429.7,181949.2
"강원","양구군",661819105.6,47738097.3,25057507.5,199940.0,488819.0,530108178.9,0.0,0.0,4057606.9,314323.3
"강원","인제군",1644967141.0,53702778.7,14852772.0,189795.0,2318648.6,1471026482.9,0.0,0.0,7024887.3,257170.9
