,발생일,발생시간,사고건수
0,2017-01-01,0,8
1,2017-01-01,1,3
2,2017-01-01,2,9
3,2017-01-01,3,5
4,2017-01-01,4,6
5,2017-01-01,5,1
6,2017-01-01,6,1
7,2017-01-01,7,1
8,2017-01-01,8,2
9,2017-01-01,10,3
10,2017-01-01,11,1
11,2017-01-01,12,3
12,2017-01-01,13,2
13,2017-01-01,15,1
14,2017-01-01,16,1
15,2017-01-01,17,1
16,2017-01-01,18,5
17,2017-01-01,19,8
18,2017-01-01,20,4
19,2017-01-01,21,3
20,2017-01-01,23,5
21,2017-01-02,0,5
22,2017-01-02,2,1
23,2017-01-02,3,1
24,2017-01-02,4,2
25,2017-01-02,5,2
26,2017-01-02,6,1
27,2017-01-02,7,4
28,2017-01-02,8,4
29,2017-01-02,9,5
30,2017-01-02,10,3
31,2017-01-02,11,2
32,2017-01-02,12,3
33,2017-01-02,14,2
34,2017-01-02,15,4
35,2017-01-02,16,5
36,2017-01-02,17,8
37,2017-01-02,18,6
38,2017-01-02,19,6
39,2017-01-02,20,10
40,2017-01-02,21,6
41,2017-01-02,22,2
42,2017-01-03,0,4
43,2017-01-03,1,4
44,2017-01-03,2,3
45,2017-01-03,4,2
46,2017-01-03,6,3
47,2017-01-03,7,4
48,2017-01-03,8,1
49,2017-01-03,9,4
50,2017-01-03,10,6
51,2017-01-03,11,4
52,2017-01-03,12,4
53,2017-01-03,13,2
54,2017-01-03,14,5
55,2017-01-03,15,4
56,2017-01-03,16,4
57,2017-01-03,17,2
58,2017-01-03,18,5
59,2017-01-03,19,4
60,2017-01-03,20,7
61,2017-01-03,21,6
62,2017-01-03,22,6
63,2017-01-03,23,4
64,2017-01-04,0,4
65,2017-01-04,1,4
66,2017-01-04,2,3
67,2017-01-04,3,6
68,2017-01-04,5,1
69,2017-01-04,6,3
70,2017-01-04,7,9
71,2017-01-04,8,6
72,2017-01-04,9,4
73,2017-01-04,10,7
74,2017-01-04,11,8
75,2017-01-04,12,7
76,2017-01-04,13,3
77,2017-01-04,14,2
78,2017-01-04,15,5
79,2017-01-04,16,3
80,2017-01-04,17,5
81,2017-01-04,18,11
82,2017-01-04,19,5
83,2017-01-04,20,6
84,2017-01-04,21,6
85,2017-01-04,22,5
86,2017-01-04,23,2
87,2017-01-05,0,6
88,2017-01-05,1,3
89,2017-01-05,2,1
90,2017-01-05,3,4
91,2017-01-05,4,2
92,2017-01-05,5,3
93,2017-01-05,6,1
94,2017-01-05,7,1
95,2017-01-05,8,5
96,2017-01-05,9,4
97,2017-01-05,10,13
98,2017-01-05,11,5
99,2017-01-05,12,2
100,2017-01-05,13,5
101,2017-01-05,14,4
102,2017-01-05,15,2
103,2017-01-05,16,2
104,2017-01-05,17,3
105,2017-01-05,18,15
106,2017-01-05,19,4
107,2017-01-05,20,7
108,2017-01-05,21,2
109,2017-01-05,22,2
110,2017-01-05,23,7
111,2017-01-06,0,2
112,2017-01-06,1,2
113,2017-01-06,2,2
114,2017-01-06,4,2
115,2017-01-06,5,3
116,2017-01-06,6,3
117,2017-01-06,7,8
118,2017-01-06,8,4
119,2017-01-06,9,7
120,2017-01-06,10,2
121,2017-01-06,11,5
122,2017-01-06,12,3
123,2017-01-06,13,2
124,2017-01-06,14,6
125,2017-01-06,15,2
126,2017-01-06,16,5
127,2017-01-06,17,3
128,2017-01-06,18,8
129,2017-01-06,19,5
130,2017-01-06,20,8
131,2017-01-06,21,3
132,2017-01-06,22,5
133,2017-01-06,23,6
134,2017-01-07,0,4
135,2017-01-07,1,5
136,2017-01-07,2,3
137,2017-01-07,3,7
138,2017-01-07,4,4
139,2017-01-07,5,5
140,2017-01-07,6,2
141,2017-01-07,7,3
142,2017-01-07,8,2
143,2017-01-07,9,4
144,2017-01-07,10,3
145,2017-01-07,11,6
146,2017-01-07,12,5
147,2017-01-07,13,6
148,2017-01-07,14,3
149,2017-01-07,15,2
150,2017-01-07,16,4
151,2017-01-07,17,6
152,2017-01-07,18,4
153,2017-01-07,19,2
154,2017-01-07,20,12
155,2017-01-07,21,5
156,2017-01-07,22,5
157,2017-01-07,23,1
158,2017-01-08,0,4
159,2017-01-08,1,4
160,2017-01-08,2,3
161,2017-01-08,3,4
162,2017-01-08,4,1
163,2017-01-08,5,5
164,2017-01-08,6,1
165,2017-01-08,8,2
166,2017-01-08,9,2
167,2017-01-08,10,4
168,2017-01-08,11,2
169,2017-01-08,12,2
170,2017-01-08,13,1
171,2017-01-08,14,2
172,2017-01-08,15,3
173,2017-01-08,16,1
174,2017-01-08,17,4
175,2017-01-08,18,6
176,2017-01-08,19,5
177,2017-01-08,20,3
178,2017-01-08,21,7
179,2017-01-08,22,3
180,2017-01-08,23,3
181,2017-01-09,0,1
182,2017-01-09,2,1
183,2017-01-09,3,1
184,2017-01-09,4,2
185,2017-01-09,5,1
186,2017-01-09,6,2
187,2017-01-09,7,6
188,2017-01-09,8,4
189,2017-01-09,9,3
190,2017-01-09,10,3
191,2017-01-09,11,5
192,2017-01-09,12,11
193,2017-01-09,13,2
194,2017-01-09,14,1
195,2017-01-09,15,10
196,2017-01-09,16,6
197,2017-01-09,17,5
198,2017-01-09,18,7
199,2017-01-09,19,5
200,2017-01-09,20,6
201,2017-01-09,21,9
202,2017-01-09,22,4
203,2017-01-10,0,5
204,2017-01-10,1,8
205,2017-01-10,2,2
206,2017-01-10,3,4
207,2017-01-10,4,1
208,2017-01-10,5,2
209,2017-01-10,6,3
210,2017-01-10,7,6
211,2017-01-10,8,4
212,2017-01-10,9,4
213,2017-01-10,10,3
214,2017-01-10,11,4
215,2017-01-10,12,2
216,2017-01-10,13,6
217,2017-01-10,14,4
218,2017-01-10,15,6
219,2017-01-10,16,5
220,2017-01-10,17,5
221,2017-01-10,18,6
222,2017-01-10,19,5
223,2017-01-10,20,4
224,2017-01-10,21,9
225,2017-01-10,22,3
226,2017-01-10,23,3
227,2017-01-11,0,7
228,2017-01-11,1,4
229,2017-01-11,2,2
230,2017-01-11,3,3
231,2017-01-11,4,1
232,2017-01-11,5,8
233,2017-01-11,6,3
234,2017-01-11,7,5
235,2017-01-11,8,6
236,2017-01-11,9,6
237,2017-01-11,10,6
238,2017-01-11,11,5
239,2017-01-11,12,6
240,2017-01-11,13,8
241,2017-01-11,14,9
242,2017-01-11,15,8
243,2017-01-11,16,2
244,2017-01-11,17,4
245,2017-01-11,18,5
246,2017-01-11,19,6
247,2017-01-11,20,6
